Egg Raw;0;125;312;100;0;13;0
Egg Boiled;0.8;142;360;100;0;13;0
Onion Raw;1.5;151;40;4;0;1.5;1.3
Onion Boiled x2;0.7;106;40;3;0;0.9;0.7
Tomato Raw;1.9;256;26;10;0;0.9;1.9
Pepper Green Long Raw;6.3;213;22;13;0;1;0
Pepper Green Long Boiled x2;6.3;150;22;13;0;1;0
Pepper Capia Green Raw;3;200;30;5;0;1;2
Pepper Capia Green Boiled x2;3;140;30;5;0;1;2
Tomato Paste TAT;25;1000;70;400;1;5.9;20.3
Potato Raw;16.4;426;51;1;0;2.3;0.7
Potato Boiled x2;16.4;299;51;1;0;2.3;0.7
Zucchini Raw;1.8;205;31;3;0;1.2;1.7
Rice(Rijst. parboiled gekookt);28;56;55;2;0;2.8;0.1
Broccoli Raw;2;340;67;12;0;3;2
Broccoli Boiled x2;2;238;67;12;0;3;2
Cauli Raw;2;349;30;10;0;2;2
Cauli Boiled x1;2;297;30;10;0;2;2
Cauli Boiled x2;2;245;30;10;0;2;2
Carrot Raw;6.7;233;36;38;0;0.4;6.5
Carrot Boiled x1;6.7;198;36;38;0;0.4;6.5
Carrot Boiled x2;6.7;163;36;38;0;0.4;6.5
Aubergine Raw;3;200;12;10;0;1;3
Aubergine Boiled x2;3;140;12;10;0;1;3
Kiwi;14.7;301;34;2;0;1.2;8.8
Orange;8.5;202;20;1;0;1.1;8.5
Mandarin;9.5;134;18;2;0;0.9;9.5
Su;0;0;0;0;0;0;0
Grape White with Skin;13.8;179;21;1;0;5;13.3
Cherry Tomatoes Raw;5;369;35;4;0;14;45
Delhaize Gluten Free Bread Estimated Values;46;74;63;400;1;39;3
Minced Meat Roasted;6;349;298;500;0;14;2
Minced Meat Roasted Boiled x2;6;244;298;400;0;14;2
Spinach;0;474;30;14;0;2;0
Corn Flour	;75.5;120;99;1;0;6.8;0
Alpro Soya drink unsweetened;0;223;110;12;0;3.3;0
Alpro Soya Yoghurt Nature Unsweetened;0.2;70;15;100;0;4;0
Cheese, goat cheese Crementell;1;175;141;466;0;17;1
Butter, unsalted;0.5;21;21;3;0;0.7;0.5
Pasta D'oro Gluten Free ;79;100;99;1;0;5.5;1
Dill;0;738;66;61;0;3.46;0
Plum, blue with skin;9.9;196;22;0;0;0.6;9.4
Bilberry;6;80;15;1;0;1;6
Pear with skin;9.2;121;13;1;0;0.7;8.7
cucumber;0;124;24;5;0;0.8;1.2
lettuce;0;293;40;15;0;1.3;0
Zucchini courgette kabak;1.8;205;31;3;0;1.2;1.7
asparagus;3;200;60;1;0;1;1
Cheese Boursin;2;100;98;590;1.2;8.5;2.3
eggs white raw;0.4;142;12;159;0;10.5;0.4
buckwheat flour;72;200;150;2;0;10;1
salt;0;0;0;40000;100;0;0
black olive pitted estimated;0;8;4;400;1;0;0
corn raw estimated;12;250;90;105;0.26;0;7.2
corn boiled x2 estimated;12;175;90;105;0.26;0;7.2
amisa buckwheat crispbread estimated;68.2;190;142.5;481.9;1.2;10.8;1.3
salmon raw;0;374;211;34;0;18;0
Apricot, dried;53.8;1162;71;10;0;3.4;53.4
Apricot, dried, boiled x1;53.8;988;71;10;0;3.4;53.4
garlic raw;28;620;134;4;0;6;22
garlic boiled x2;28;434;134;4;0;6;22
room/creme/krema %35 yagli;3.1;118;54;32;0;2.3;3.1
mushroom white raw;0.4;320;80;5;0;2.3;0.2
peas raw;10;300;80;10;0;4;1
rice flour;80;76;98;0;0;6;0.1
brown rice flour;76.48;289;337;8;0;7.23;0
Dodoni Feta (fosfor estimated);0;277;337;1010;2.5;17;0
Chestnut Flour/Kestane Unu (https://sante.journaldesfemmes.fr/calories/farine-de-chataigne/aliment-9570);64.8;847;164;11;0;5.8;0
Cereal GlutenFree Cracker Chestnut&Rice(estimated);85;372;269;152;0.38;6.9;7.3
okra bamya raw;8;300;60;2;0;2.2;2.5
suntat konserve bamya(K, Ph, estimated);2.4;300;60;440;1.1;1.5;0.9
parsley fresh;1;700;30;25;0;4;0
mozzarella(internubel);1;59;239;200;0;19.5;1
mozzarella Galbani (potasyum fosfor estimated);2;59;239;280;0.7;17;1
Turkey breast - Weight Watchers - Imperial Meat Products;0.9;0;0;1030;0;20.7;0.9
green olive pitted estimated;0;42;4;400;1;0;0
Steak tartare. prepared. marino - Delhaize - Delhaize groupe;1.7;0;0;520;0;16;0.8
Ham. Cobourg 150g - Carrefour Discount - Carrefour Belgium;1;0;0;2000;0;24;1
Salami. delicatessen - Saint Alby - Lidl Belgium GmbH;0.2;0;0;1300;0;18.1;0.2
Sausage. Gaumais - Carrefour - Carrefour Belgium;0.7;0;0;1200;0;20;0.5
Ham. Mangalica - Delhaize - Taste of Inspirations - Delhaize groupe;1;0;0;1920;0;32;1
Ham. cooked 4 slices -25% salt - Carrefour - Carrefour Belgium;0.8;0;0;640;0;20.9;0.8
Ham. cooked. Prosciutto arrosto Alle erbe sliced - Delhaize - Delhaize groupe;0.9;0;0;650;0;19.8;0.9
Mortadella Bologna IGP sliced - Delhaize - Delhaize groupe;1.5;0;0;510;0;14.7;1.5
Sausage. bistro time - Bistro - Imperial Meat Products;0.4;0;0;1888;0;29;0.4
Ham. ham Meesterlijcke - Carrefour - Carrefour Belgium;1.1;0;0;808;0;21.2;1.1
Salami. salami with garlic farmers - Saint Alby - Lidl Belgium GmbH;0.3;0;0;1600;0;22;0.2
Ham. cooked ham 220g - Aoste Authentique - Imperial Meat Products;0.7;0;0;747;0;22;0.7
Ham. Authentique nature - Herta - Nestlé Belgilux S.A.;0.5;0;0;760;0;20;0.5
Salami. Ardennes 100g - Marcassou - Champlon Salaison S.A.;0.2;0;0;1593;0;24;0.2
Ham baked in oven - Aubel - Detry S.A.;0.3;0;19;500;0;21.5;0.3
Meatloaf. fine grain;0;0;0;0;0;15.3;0
Chicken breast on the spit - Herta - Nestlé Belgilux S.A.;0.7;0;0;760;0;22;0.7
Bacon. nature diced bacon - Herta - Nestlé Belgilux S.A.;0.4;0;0;880;0;17;0.4
Américain. prepared by chef bruschetta - Carrefour - Carrefour Belgium;3.8;0;0;520;0;16;1.6
Ham. Black Woudham 200g - Carrefour Discount - Carrefour Belgium;1;0;0;2000;0;24;1
Pâté. crème - Delhaize - Delhaize groupe;2.5;0;0;1200;0;15.5;1
Sausage. Aperitivo 250g - Marcassou - Champlon Salaison S.A.;0.2;0;0;1574;0;28;0.2
Ham. superieur -25% salt - Herta - Nestlé Belgilux S.A.;0.5;0;0;560;0;20;0.5
Deer salami - Carrefour - Carrefour Belgium;0.9;0;0;1440;0;21.5;0.3
Pâté crème block - Delhaize - Delhaize groupe;3.2;0;0;790;0;11.5;3.2
Corned-beef. canned;3.5;266;118;715;0;20.2;0.2
Filet de Saxe - 100g - Carrefour - Carrefour Belgium;0.9;0;0;1250;0;22.4;0.9
Pork hamburger of Antanbleu meadow 1560g - Carrefour - Carrefour Belgium;0.3;0;0;520;0;19;0.2
Horsemeat in slices - Delhaize - Delhaize groupe;2;0;0;1300;0;23;1.6
Luncheon sausage 100g - Carrefour - Carrefour Belgium;3.1;0;0;650;0;12;1.5
Meatloaf 6 slices 150g - Carrefour - Carrefour Belgium;5.3;0;0;720;0;14;0.5
Sausage. Salame Abruzzese - Delhaize - Delhaize groupe;0.3;0;0;1560;0;29.7;0.3
Bacon cubes. salted - Delhaize - 365 - Delhaize groupe;0.6;0;0;1600;0;16.9;0.6
Bacon. ham bacon - Delhaize - Delhaize groupe;5;0;0;1160;0;21.2;0.2
Bacon smoked breakfast - Carrefour - Carrefour Belgium;0.9;0;0;1200;0;16.8;0.8
Bacon. bacon breakfast smoked - Dulano - Lidl Belgium GmbH;1;0;0;800;0;17;1
Ardennes sausage bio - Carrefour BIO - Carrefour Belgium;0.5;0;0;1488;0;18;0.5
Bacon in cubes Wellness - Aubel - Detry S.A.;0.5;0;0;1200;0;15.6;0
Natural chicken breast - Carrefour - Carrefour Belgium;1.5;0;0;720;0;19;1.1
Spread. chicken salad with crispy bacon - Delhaize - Delhaize groupe;6.1;0;0;1100;0;13.4;0.6
Chicken sausage - Weight Watchers - Imperial Meat Products;3.6;0;0;737;0;11;1.7
Ham. cooked. Prosciutto cotto sliced - Delhaize - Delhaize groupe;0.9;0;0;650;0;19.8;0.9
Head cheese in tomato sauce. piece - Delhaize - Delhaize groupe;3;0;0;710;0;13.8;1
Bacon. smoked bacon slices 150g - Carrefour - Carrefour Belgium;0.5;0;0;1400;0;16;0.5
Pate. cream pate - 1 piece - Carrefour - Carrefour Belgium;2.7;0;0;751;0;12;2
Pate. oven baked in slices - Carrefour - Carrefour Belgium;3.6;0;0;660;0;14;2.4
Minced chicken - Carrefour BIO - Carrefour Belgium;0.7;0;0;393;0;18.9;0.7
Ham with asparagus - Carrefour - Carrefour Belgium;0.2;0;0;750;0;18.9;0.2
Gouda and salami. aperitif cubes. mustard sauce - Carrefour - Carrefour Belgium;1.4;0;0;1262;0;20.8;0.6
Sausage. cheese samba - Carrefour - Carrefour Belgium;2.5;0;0;833;0;16.4;0.7
Ham. Filet d'Ardenne 100g - Marcassou - Champlon Salaison S.A.;0.9;0;0;1778;0;28;0.9
Turkey filet sliced 365 - Delhaize - 365 - Delhaize groupe;1.5;0;0;840;0;21;1
Chicken fillet with chives in slices - Delhaize - Delhaize groupe;1.2;0;0;1120;0;18.9;0.8
Veal olives;0;314;183;499;0;17.9;0
Mini-salami sticks 100g - Carrefour Discount - Carrefour Belgium;3.7;0;0;1720;0;27;2.8
Sausages. Frankfort - Delhaize - Delhaize groupe;0.4;0;0;790;0;13.8;0.4
Bacon. salted bacon thickly sliced - Dulano - Lidl Belgium GmbH;0.5;0;0;1520;0;21;0.5
Filet d'Anvers 120g - Carrefour - Carrefour Belgium;0.6;0;0;1300;0;23;0.6
Christmas ham - Carrefour Filière qualité - Carrefour Belgium;1;0;0;781;0;20;1
Salami finbec without garlic - Delhaize - Delhaize groupe;0.1;0;0;1270;0;18.7;0.1
Chicken breast. curry madras. sliced - Delhaize - Delhaize groupe;1;0;0;1120;0;19.4;1
Knuckle of ham - Souvenir du Terroir - Carrefour Belgium;0;0;0;750;0;21;0
Meatloaf 100g - Aoste Authentique - Imperial Meat Products;5;0;0;845;0;17;1.5
Ham. barbecue ham 250g - Delhaize - Delhaize groupe;0.5;0;0;600;0;21.6;0.5
Paté. farm house 150g - Aoste Authentique - Imperial Meat Products;1;0;0;708;0;15;1
